Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
ITC Kakatiya - A Luxury Collection Hotel,Begumpet,4.2,1245.0,19000,3420,2.7 km drive to Hussain Sagar Lake,True,False,22420
Hotel 5 Elements,Hitec City,4.1,622.0,2149,543,Not provided,False,False,2692
Park Royal Hotel,Shivaji Nagar,3.9,529.0,2245,525,2.7 km drive to Hussain Sagar Lake,True,False,2770
DELPHI GRAND,Kondapur,3.7,1017.0,2133,569,Not provided,True,False,2702
Ohris Baseraa ,Secunderabad,3.4,1912.0,2019,529,2.6 km drive to Hussain Sagar Lake,True,False,2548
CITADEL Hotel By Vinnca,Gaghan Pahad,4.1,1221.0,10022,3571,Not provided,True,False,13593
IRIS AT NEST,Madhapur,3.9,278.0,1694,479,Not provided,True,False,2173
HOTEL RAINTR33,Hitec City,3.8,1431.0,2117,652,Not provided,True,False,2769
Krrish Inn Hyderabad,Sanjeeva Reddy Nagar,3.8,734.0,2519,772,7 minutes walk to Aster Prime Hospital,True,False,3291
THE CENT,Lakdikapul,3.3,2028.0,3149,770,1.3 km drive to Hussain Sagar Lake,True,False,3919
Tabla Pride Hotel & Spa,Banjara Hills,3.5,324.0,3375,897,Not provided,False,False,4272
New Hotel Suhail,Koti,3.9,177.0,2639,593,2.7 km drive to Salar Jung Museum,True,False,3232
Minerva Grand- Kondapur,Kothaguda,3.9,1176.0,6138,1254,Not provided,True,False,7392
5 STAR GRAND PREMIUM,Gandiguda,4.4,61.0,1168,313,9.5 km drive to Rajiv Gandhi International Airport,False,False,1481
Hotel Silver Cle,Hitech City,4.2,168.0,3814,779,Not provided,True,False,4593
HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD,Shamshabad,3.8,3149.0,2369,621,8.3 km drive to Rajiv Gandhi International Airport,True,False,2990
iStay Hotels Jubilee Hills Hyderabad,Jubilee Hills,3.9,253.0,2363,658,Not provided,True,False,3021
Super Townhouse OAK BHOOJA HOTELS,Toli Chowki,3.7,85.0,1481,289,Not provided,True,False,1770
Hotel Geetanjali,Hyderguda,3.9,559.0,1066,296,3.0 km drive to Salar Jung Museum,True,False,1362
The Platinum Hotel,Himayat Nagar,3.9,776.0,2195,575,10 minutes walk to Hussain Sagar Lake,True,False,2770
FabHotel Prime Srishoin,Hitec City,4.5,111.0,3267,759,Not provided,True,False,4026
Destino by INR Suites,Madhapur,3.9,231.0,1637,463,Not provided,True,False,2100
Hotel Asrani International,Ramgopalpet,4.2,217.0,2693,557,1.9 km drive to Hussain Sagar Lake,True,False,3250
Taj Tristar,Secunderabad,3.9,1262.0,4054,942,2.3 km drive to Hussain Sagar Lake,True,False,4996
Hotel Transit By Encalm,Shamshabad,4.3,24.0,9050,2500,2 minutes walk to RGIA International Departures,True,False,11550
HOTEL KANHA BOUTIQUE,Gachibowli,4.0,134.0,1211,302,Not provided,False,False,1513
Marriott Executive Apartments Hyderabad,Gachibowli,4.3,654.0,35000,6300,Not provided,True,False,41300
Super Capital O Hoysala Inn,Kompally,3.5,395.0,2720,531,8 minutes walk to Surekha Hospital,True,False,3251
Zibe - Hyderabad by GRT Hotels,Kukatpally,4.2,537.0,4500,630,Not provided,True,False,5130
Taj Mahal Hotel,Abids,3.9,1751.0,2630,619,2.6 km drive to Hussain Sagar Lake,True,False,3249
BEST WESTERN Ashoka,Lakdikapul,4.0,2491.0,4396,1015,1.8 km drive to Hussain Sagar Lake,False,False,5411
Bloom Hotel - HITEC City,Madhapur,3.7,501.0,4930,1007,Not provided,True,False,5937
Prowell Hotels Apex,Kondapur,4.1,218.0,1691,469,Not provided,True,False,2160
Hotel Deccan Serai,Hitec City,4.1,2363.0,5828,1327,Not provided,False,False,7155
HOTEL PRIME CLASSIC,Shamshabad,4.1,178.0,2405,677,8.6 km drive to Rajiv Gandhi International Airport,True,False,3082
Hyatt Hyderabad Gachibowli,Gachibowli,4.1,928.0,50000,9000,"1.8 km drive to US Consulate, Hyderabad",True,False,59000
Hotel H Madhapur,Hitec City,3.9,71.0,1519,510,Not provided,True,False,2029
Hotel Sitara (Ramoji Film City),Anajpur,4.2,1011.0,8104,2472,9 minutes walk to Ramoji Filmcity,True,False,10576
LOKI's Forest Inn,LB Nagar,3.7,252.0,1946,503,Not provided,True,False,2449
Super Townhouse Rcc Prime,Moosapet,4.0,519.0,1778,347,Not provided,True,False,2125
Townhouse Sri Nirvana Grand,Yella Reddy Guda,4.7,31.0,1754,342,Not provided,True,False,2096
Super Townhouse RCC Elite,Begumpet,4.2,564.0,2055,401,2.5 km drive to Hussain Sagar Lake,True,False,2456
Bloom Hotel - Gachibowli,Gachibowli,4.0,357.0,5116,1045,Not provided,True,False,6161
The Balcony,Madhapur,4.5,269.0,1954,484,Not provided,True,False,2438
Aditya Hometel Hyderabad - A Sarovar Hotel,Ameerpet,3.5,2740.0,4590,551,2 minutes walk to Aster Prime Hospital,True,False,5141
The Lime Boutique Suites,Gachibowli,4.1,1596.0,3671,770,Not provided,True,False,4441
Hotel KINARA GRAND-Habsiguda,Habsiguda,3.6,403.0,2674,742,10 minutes walk to Rajiv Gandhi Cricket Stadium,False,False,3416
Hotel Aerotel,Shamshabad,4.0,25.0,2970,659,8.5 km drive to Rajiv Gandhi International Airport,True,False,3629
